,Valid Domains,MXRecords
794,bcs448.com,mx01.ionos.com.
795,229k.com,localhost.
796,nyc.com,mx1.emailsrvr.com.
797,achievementfirst.com,mailx.gridhost.com.
798,ps130brooklyn.com,ALT1.ASPMX.L.GOOGLE.com.
799,cyberartsbk.com,aspmx.l.google.com.
800,launchschool.com,alt4.aspmx.l.google.com.
801,bcmsbengals.com,alt1.aspmx.l.google.com.
802,ebtbrooklyn.com,alt2.aspmx.l.google.com.
803,ms136brooklyn.com,aspmx3.googlemail.com.
804,is234.com,smtp.secureserver.net.
805,hstat.com,localhost.
806,ps139.com,mx.ps139.com.
807,370k.com,mxbiz2.qq.com.
808,twain239.com,mx.hover.com.cust.hostedemail.com.
809,bklawtech.com,alt3.aspmx.l.google.com.
810,ps247.com,.
811,catonschool.com,alt3.aspmx.l.google.com.
812,ps251.com,aspmx2.googlemail.com.
813,ps153.com,mail.h-email.net.
814,ps154.com,alt3.aspmx.l.google.com.
815,is162.com,smtp.secureserver.net.
816,bsmartnow.com,aspmx.l.google.com.
817,ps170.com,alt1.aspmx.l.google.com.
818,mckinneyssa.com,alt1.aspmx.l.google.com.
819,mlfa581.com,alt1.aspmx.l.google.com.
820,khalilgibranhs.com,aspmx3.googlemail.com.
821,atechhs.com,atechhs.com.
822,uainstitute.com,aspmx2.googlemail.com.
823,is281.com,alt2.aspmx.l.google.com.
824,282parkslope.com,mail.282parkslope.com.
825,brooklynleadershiphs.com,aspmx.l.google.com.
826,meyerlevin.com,mx2-hosting.jellyfish.systems.
827,aelnyc.com,aelnyc-com.mail.protection.outlook.com.
828,aoiths.com,mailstore1.secureserver.net.
829,midwoodhighschool.com,mail.h-email.net.
830,gradyhs.com,aspmx.l.google.com.
831,facebook.com,smtpin.vvv.facebook.com.
832,brooklynbrownstoneschool.com,smtp.secureserver.net.
833,ps290juanmorelcampos.com,alt2.aspmx.l.google.com.
834,professionalpathwayshighschool.com,aspmx.l.google.com.
835,hsmp.com,hsmp-com.mail.protection.outlook.com.
836,alhs.com,alt1.aspmx.l.google.com.
837,acebrooklyn.com,alt4.aspmx.l.google.com.
838,urbanactionacademy.com,alt2.aspmx.l.google.com.
839,metrodphs.com,aspmx2.googlemail.com.
840,paveschools.com,mailstore1.secureserver.net.
841,ascendlearning.com,us-smtp-inbound-2.mimecast.com.
842,whmaxwell.com,alt1.aspmx.l.google.com.
843,highschoolforpublicservice.com,aspmx.l.google.com.
844,nhaschools.com,nhaschools-com.mail.protection.outlook.com.
845,libertyavems.com,alt1.aspmx.l.google.com.
846,mesacharter.com,mesacharter-com.mail.protection.outlook.com.
847,bkmusicntheatre.com,aspmx.l.google.com.
848,bssjbrooklyn.com,alt2.aspmx.l.google.com.
849,aclanyc.com,alt1.aspmx.l.google.com.
850,bges.com,mail.mailerhost.net.
851,unityprep.com,smtp.secureserver.net.
852,ps971.com,aspmx3.googlemail.com.
853,williamsburgprep.com,aspmx.l.google.com.
854,madibaprep.com,mx2.emailsrvr.com.
855,brooklynx.com,mail.brooklynx.com.
856,elpuente.com,mail.nominalia.com.
857,mybrooklynstudionyc.com,aspmx3.googlemail.com.
858,icsnyc.com,icsnyc-com.mail.protection.outlook.com.
859,ps770.com,aspmx2.googlemail.com.
860,sunsetparkprep.com,aspmx3.googlemail.com.
861,ps889.com,mxdomain.qq.com.
862,belahs.com,mailstore1.secureserver.net.
863,allmychildrendaycare.com,aspmx.l.google.com.
864,ps6nyc.com,aspmx2.googlemail.com.
865,yorkvillecommunityschool.com,mailstore1.secureserver.net.
866,tagscholars.com,alt1.aspmx.l.google.com.
867,ps158.com,mail.ps158.com.
868,x.com,alt2.aspmx.l.google.com.
869,ps33chelseaprep.com,aspmx3.googlemail.com.
870,mbbms.com,localhost.
871,ps64.com,mx01.ionos.com.
872,democracyprep.com,ASPMX.L.GOOGLE.com.
873,ps189m.com,mail.ps189m.com.
874,lowerlab.com,w01ef553.kasserver.com.
875,ps87.com,mx3.nfrance.com.
876,ps96act.com,alt4.aspmx.l.google.com.
877,p226m.com,aspmx.l.google.com.
878,ps242.com,mail.echalk.com.
879,thecenterschool.com,thecenterschool.com.pri-mx.na0102.smtproutes.com.
880,dospuentes.com,ALT1.ASPMX.L.GOOGLE.com.
881,esms.com,aspmx.l.google.com.
882,ps124m.com,aspmx2.googlemail.com.
883,ps126mat.com,mail.h-email.net.
884,johnhfinley.com,alt2.aspmx.l.google.com.
885,ocsny.com,ocsny-com.mail.protection.outlook.com.
886,meca-nyc.com,mx1.dreamhost.com.
887,westendsecondary.com,alt2.aspmx.l.google.com.
888,schoolinthesquare.com,mailstore1.secureserver.net.
889,hshm.com,.
890,labmiddleschool.com,aspmx2.googlemail.com.
891,publicprep.com,ASPMX3.GOOGLEMAIL.com.
892,nycautismcharterschool.com,mailstore1.secureserver.net.
893,ppasnyc.com,mailstore1.secureserver.net.
894,hsfi.com,smtp.getontheweb.com.
895,newheightsacademy.com,mx2-us1.ppe-hosted.com.
896,climatejustice.com,smtp.secureserver.net.
897,tmanyc.com,tmanyc-com.mail.protection.outlook.com.
898,theheritageschoolnyc.com,aspmx.l.google.com.
899,cwsnyc.com,alt4.aspmx.l.google.com.
900,jvlwildcat.com,alt4.aspmx.l.google.com.
901,blackbinder.com,mx.blackbinder.com.
902,tsmsonline.com,tsmsonline.com.
903,zetaschools.com,smtp.secureserver.net.
904,cpe2.com,mailstore1.secureserver.net.
905,mhacademy.com,a.mx.domainoo.fr.
906,gramercyhs.com,mail.gramercyhs.com.
907,mosaicprep.com,alt4.aspmx.l.google.com.
908,mcsm.com,mx002.netsol.xion.oxcs.net.
909,hudsonhs.com,alt2.aspmx.l.google.com.
910,ballettech.com,smtp.secureserver.net.
911,eschs.com,in2-smtp.messagingengine.com.
912,stuy.com,localhost.
913,beaconschool.com,beaconschool-com.mail.protection.outlook.com.
914,ps12.com,mx01.ionos.com.
915,ps13queens.com,alt4.aspmx.l.google.com.
916,ps18q.com,alt1.aspmx.l.google.com.
917,homeinstructionschools.com,alt2.aspmx.l.google.com.
918,lespnyc.com,alt4.aspmx.l.google.com.
919,adrienblockis25.com,mailstore1.secureserver.net.
920,mbanyc.com,aspmx.l.google.com.
921,ps26q.com,mail.ps26q.com.
922,nycboss.com,mail.nycboss.com.
923,tuhs.com,smtp.getontheweb.com.
924,ps33q.com,aspmx4.googlemail.com.
925,broomestreetacademy.com,aspmx.l.google.com.
926,hospitalschools.com,mailstore1.secureserver.net.
927,ps40q.com,ps40q-com.mail.protection.outlook.com.
928,ps46q.com,alt2.aspmx.l.google.com.
929,aprandolph.com,apsmx.l.google.com.
930,psms47q.com,alt1.aspmx.l.google.com.
931,49online.com,mx1.ewebdevelopment.com.
932,ps50q.com,aspmx.l.google.com.
933,ps108q.com,alt2.aspmx.l.google.com.
934,newdesignhigh.com,alt2.aspmx.l.google.com.
935,ihsnyc.com,aspmx3.googlemail.com.
936,ps55q.com,aspmx.l.google.com.
937,ps56q.com,aspmx.l.google.com.
938,afsenyc.com,ASPMX4.GOOGLEMAIL.com.
939,libertyhsnyc.com,mail.libertyhsnyc.com.
940,ps062.com,alt2.aspmx.l.google.com.
941,ps63oldsouthschool.com,alt2.aspmx.l.google.com.
942,cityas.com,cityas.com.
943,ps121q.com,alt2.aspmx.l.google.com.
944,urbanacademy.com,urbanacademy-com.mail.protection.outlook.com.
945,ps123q.com,aspmx3.googlemail.com.
946,ps69q.com,webmail.ps69q.com.
947,psis128.com,aspmx2.googlemail.com.
948,ps129.com,alt1.aspmx.l.google.com.
949,ps131q.com,mail.ps131q.com.
950,ps209q.com,aspmx.l.google.com.
951,elmtreeschool.com,alt2.aspmx.l.google.com.
952,ps212q.com,aspmx3.googlemail.com.
953,ps213q.com,aspmx.l.google.com.
954,ps139q.com,alt2.aspmx.l.google.com.
955,ms217q.com,aspmx.l.google.com.
956,ps88q.com,alt3.aspmx.l.google.com.
957,145innovators.com,aspmx2.googlemail.com.
958,psms147q.com,mailstore1.secureserver.net.
959,virgilgrissom.com,ASPMX.L.GOOGLE.com.
960,ps148q.com,alt3.aspmx.l.google.com.
961,armstrong227q.com,alt4.aspmx.l.google.com.
962,p233q.com,p233q.com.
963,ps234queens.com,alt3.aspmx.l.google.com.
964,ps90queens.com,alt2.aspmx.l.google.com.
965,veritas.com,veritas-com.mail.protection.outlook.com.
966,halsey157.com,alt2.aspmx.l.google.com.
967,ps242q.com,alt1.aspmx.l.google.com.
968,ps254q27.com,alt2.aspmx.l.google.com.
969,ms158q.com,mail.echalk.com.
970,ps161q.com,alt2.aspmx.l.google.com.
971,cvsr.com,cvsr-com.mail.protection.outlook.com.
972,psms164.com,alt4.aspmx.l.google.com.
973,ps165q.com,.
974,ps166q.com,ps166q-com.mail.protection.outlook.com.
975,ephschool.com,alt4.aspmx.l.google.com.
976,metropolitanels.com,aspmx2.googlemail.com.
977,hsac1.com,hsac1-com.mail.protection.outlook.com.
978,ewsis.com,.
979,ps176q.com,alt4.aspmx.l.google.com.
980,yorkearlycollegeacademy.com,alt1.aspmx.l.google.com.
981,wjps.com,mail1.namebrightmail.com.
982,publicschool177q.com,aspmx2.googlemail.com.
983,theemersonschool.com,alt2.aspmx.l.google.com.
984,queensunited.com,mailin100.dcpserver.de.
985,scholarsnyc.com,alt2.aspmx.l.google.com.
986,hillsidearts.com,mx01.ionos.com.
987,thebellacademy.com,alt4.aspmx.l.google.com.
988,mhs.com,mail.mhs.com.
989,psis295.com,alt3.aspmx.l.google.com.
990,ps329q.com,aspmx3.googlemail.com.
991,rfkchs.com,alt1.aspmx.l.google.com.
992,epicnorth.com,alt4.aspmx.l.google.com.
993,qshso.com,aspmx3.googlemail.com.
994,reacschool.com,mattnj-mx1.titanhq.com.
995,ps343.com,eforward5.registrar-servers.com.
996,p721q.com,aspmx4.googlemail.com.
997,p811q.com,alt2.aspmx.l.google.com.
998,ps184q.com,smtp.secureserver.net.
999,jhs189q.com,aspmx.l.google.com.
1000,ps193q.com,alt2.aspmx.l.google.com.
1001,actvf.com,mx14.gmoserver.jp.
1002,ps196q.com,aspmx2.googlemail.com.
1003,ps305.com,aspmx.l.google.com.
1004,queenscollegiate.com,queenscollegiate-com.mail.protection.outlook.com.
1005,cardozohigh.com,alt4.aspmx.l.google.com.
1006,casa311.com,alt2.aspmx.l.google.com.
1007,franklin.com,alt2.aspmx.l.google.com.
1008,dolphins8.com,alt3.aspmx.l.google.com.
1009,ps10forthill.com,aspmx.l.google.com.
1010,barnes24.com,mail.h-email.net.
1011,p25r.com,mailstore1.secureserver.net.
1012,ps32statenisland.com,alt1.aspmx.l.google.com.
1013,johnbowne.com,mx2.forwardemail.net.
1014,francislewishs.com,mail.h-email.net.
1015,ps42.com,ps42-com.mail.protection.outlook.com.
1016,imagineelc.com,smtp.google.com.
1017,hartshs.com,mail.h-email.net.
1018,infotechhs.com,alt4.aspmx.l.google.com.
1019,mchslic.com,park-mx.above.com.
1020,thhs.com,smtp.getontheweb.com.
1021,ps65si.com,route2.mx.cloudflare.net.
1022,is72.com,mail.is72.com.
1023,is75.com,mail.h-email.net.
1024,petridesschool.com,aspmx.l.google.com.
1025,psms5.com,mx-van.mail.am0.yahoodns.net.
1026,portrichmondhs.com,.
1027,ps19.com,mx2.daemonmail.net.
1028,tottenvillehs.com,aspmx.l.google.com.
1029,ps32belmont.com,aspmx.l.google.com.
1030,ps35x.com,alt2.aspmx.l.google.com.
1031,theclaremontschool.com,smtp.secureserver.net.
1032,communityschool44.com,ALT1.aspmx.l.google.com.
1033,willisaveschool.com,aspmx3.googlemail.com.
1034,ms101bronx.com,alt2.aspmx.l.google.com.
1035,motthall3.com,alt1.aspmx.l.google.com.
1036,10x80.com,aspmx.l.google.com.
1037,ps89x.com,aspmx.l.google.com.
1038,ps91x.com,alt3.aspmx.l.google.com.
1039,p168x.com,alt2.aspmx.l.google.com.
1040,baychesteracademy.com,alt1.aspmx.l.google.com.
1041,is254.com,aspmx3.googlemail.com.
1042,excellencecommunityschools.com,mailstore1.secureserver.net.
1043,bronxlatin.com,alt1.aspmx.l.google.com.
1044,psms194.com,alt3.aspmx.l.google.com.
1045,ms390.com,alt3.aspmx.l.google.com.
1046,ps277x.com,alt3.aspmx.l.google.com.
1047,is206.com,alt3.aspmx.l.google.com.
1048,thewae.com,mail.mailerhost.net.
1049,ellisprep.com,aspmx2.googlemail.com.
1050,lehmanhs.com,aspmx.l.google.com.
1051,X413.com,www.X413.com.
1052,bhsva418.com,alt4.aspmx.l.google.com.
1053,bronxacademyofpromise.com,alt2.aspmx.l.google.com.
1054,astorcollegiate.com,coloa4.hubblehost.com.
1055,mycis303.com,aspmx.l.google.com.
1056,ps304x.com,smtp.secureserver.net.
1057,thefairmontschool.com,alt1.aspmx.l.google.com.
1058,bxtrumanhighschool.com,alt4.aspmx.l.google.com.
1059,bgms.com,bgms-com.mail.protection.outlook.com.
1060,atmosphere.com,atmosphere-com.mail.protection.outlook.com.
1061,poecenter246.com,aspmx.l.google.com.
1062,bronxacademyofthearts.com,mail.bronxacademyofthearts.com.
1063,ms331.com,ASPMX.L.GOOGLE.com.
1064,marblehillschool.com,athena.hosts.co.uk.
1065,thecinemaschool.com,mailstore1.secureserver.net.
1066,islaschool.com,ALT3.ASPMX.L.GOOGLE.com.
1067,ms343.com,alt1.aspmx.l.google.com.
1068,bccprep.com,aspmx.l.google.com.
1069,bronxwoodprep.com,aspmx.l.google.com.
1070,fdaiii.com,alt2.aspmx.l.google.com.
1071,bxdesign.com,localhost.
1072,ilchs.com,ilchs-com.mail.protection.outlook.com.
1073,x348.com,x348.com.
1074,archerelementary.com,aspmx3.googlemail.com.
1075,hsvd.com,mailstore1.secureserver.net.
1076,highbridgegreen.com,aspmx3.googlemail.com.
1077,highschoolofworldcultures.com,aspmx.l.google.com.
1078,bronxletters.com,.
1079,sbecacs.com,mail.sbecacs.com.
1080,nycmcs.com,mx01.ionos.com.
1081,westchestersquare.com,aspmx5.googlemail.com.
1082,storefrontacademycs.com,alt1.aspmx.l.google.com.
1083,11x370.com,alt1.aspmx.l.google.com.
1084,bpms.com,localhost.
1085,flacsnyc.com,alt3.aspmx.l.google.com.
1086,ps595bronx.com,alt2.aspmx.l.google.com.
1087,bronxarts.com,.
1088,cmccs.com,cmccs-com.mail.protection.outlook.com.
1089,aecicharterhs.com,ghs.google.com.
1090,wildflowerschools.com,eforward5.registrar-servers.com.
1091,bths.edu,ASPMX4.GOOGLEMAIL.COM.
1092,sof.edu,alt4.aspmx.l.google.com.
1093,stuy.edu,alt3.aspmx.l.google.com.
1094,franklin.edu,franklin-edu.mail.protection.outlook.com.
1095,bxscience.edu,alt2.aspmx.l.google.com.
1096,ps59.net,aspmx.l.google.com.
1097,ps69k.net,smtp.google.com.
1098,cs21.net,localhost.
1099,ms88.net,ms88.net.
1100,ps97.net,ps97-net.mail.protection.outlook.com.
1101,ps102.net,aspmx3.googlemail.com.
1102,ps215.net,aspmx.l.google.com.
1103,blog.net,aspmx.l.google.com.
1104,bths.net,mx.bths.net.
1105,nyc.net,alt2.aspmx.l.google.com.
1106,kecss.net,alt3.aspmx.l.google.com.
1107,hstat.net,eforward4.registrar-servers.com.
1108,brooklyncollegiate.net,alt4.aspmx.l.google.com.
1109,is162.net,aspmx2.googlemail.com.
1110,ps170.net,ps170.net.
1111,ms577.net,aspmx.l.google.com.
1112,ps268.net,park-mx.above.com.
1113,atechhs.net,atechhs.net.
1114,uainstitute.net,aspmx3.googlemail.com.
1115,hsmp.net,mail.hsmp.net.
1116,k409.net,mail.k409.net.
1117,alhs.net,mail.h-email.net.
1118,ascendlearning.net,us-smtp-inbound-2.mimecast.com.
1119,starearlycollege.net,route3.mx.cloudflare.net.
1120,bilanyc.net,alt2.aspmx.l.google.com.
1121,bges.net,.
1122,madibaprep.net,smtp.secureserver.net.
1123,elpuente.net,mail.h-email.net.
1124,icsnyc.net,icsnyc.net.
1125,ps150.net,mail.echalk.com.
1126,yorkvillecommunityschool.net,smtp.secureserver.net.
1127,ps158.net,aspmx2.googlemail.com.
1128,47aslhs.net,aspmx.l.google.com.
1129,ps189m.net,alt2.aspmx.l.google.com.
1130,ps102m.net,ps102m.net.
1131,psis217.net,ASPMX.L.GOOGLE.COM.
1132,ellabakerschool.net,mail.h-email.net.
1133,thecomputerschool.net,cpanel1.conexim.com.au.
1134,ms104.net,mx01.lolipop.jp.
1135,esms.net,mx01.servicehoster.ch.
1136,communityactionschool.net,alt4.aspmx.l.google.com.
1137,theclintonschool.net,alt1.aspmx.l.google.com.
1138,psms278.net,aspmx2.googlemail.com.
1139,westendsecondary.net,smtp.google.com.
1140,uasbyw.net,aspmx3.googlemail.com.
1141,bcchsnyc.net,aspmx5.googlemail.com.
1142,sof.net,mail.mailerhost.net.
1143,climatejustice.net,mailstore1.secureserver.net.
1144,millenniumhs.net,mail.millenniumhs.net.
1145,blackbinder.net,blackbinder-net.mail.protection.outlook.com.
1146,fda2.net,alt2.aspmx.l.google.com.
1147,mhacademy.net,aspmx3.googlemail.com.
1148,mosaicprep.net,mosaicprep.net.
1149,vanguardhighschool.net,mx01.ionos.com.
1150,forsythsatellite.net,alt2.aspmx.l.google.com.
1151,beaconschool.net,aspmx.l.google.com.
1152,laguardiahs.net,laguardiahs.net.
1153,earwshs.net,aspmx.l.google.com.
1154,ps43.net,mx3.pub.mailpod8-cph3.one.com.
1155,nestmk12.net,aspmx.l.google.com.
1156,glhs.net,mx.glhs.net.cust.b.hostedemail.com.
1157,ms210q.net,aspmx2.googlemail.com.
1158,ps82q.net,ps82q.net.
1159,ps163.net,smtp.secureserver.net.
1160,ps165q.net,alt3.aspmx.l.google.com.
1161,wjps.net,wjps-net.mail.protection.outlook.com.
1162,rockawayparkhighschool.net,rockawayparkhighschool.net.
1163,bsge.net,mail.bsge.net.
1164,mhs.net,mxb-00090a01.gslb.pphosted.com.
1165,aviationhs.net,mail.echalk.com.
1166,jamaicagateway.net,alt2.aspmx.l.google.com.
1167,ps22.net,smtpin.rzone.de.
1168,p25r.net,mx1.hostinger.com.
1169,ps29bengals.net,alt2.aspmx.l.google.com.
1170,infotechhs.net,aspmx.l.google.com.
1171,maels.net,alt3.aspmx.l.google.com.
1172,is72.net,mx.yandex.net.
1173,newworldprep.net,mx2.hostinger.com.
1174,ps14.net,aspmx3.googlemail.com.
1175,wagnerhigh.net,alt2.aspmx.l.google.com.
1176,psms29.net,aspmx.l.google.com.
1177,ps54.net,mx00.ionos.fr.
1178,ps103.net,alt1.aspmx.l.google.com.
1179,excellencecommunityschools.net,smtp.secureserver.net.
1180,herohigh.net,aspmx.l.google.com.
1181,p186x.net,alt4.aspmx.l.google.com.
1182,emolior.net,alt4.aspmx.l.google.com.
1183,psms194.net,alt1.aspmx.l.google.com.
1184,X413.net,mx.x413.net.cust.b.hostedemail.com.
1185,southbronxprep.net,alt1.aspmx.l.google.com.
1186,bronxwritingacademy.net,aspmx3.googlemail.com.
1187,atmosphere.net,mail1.namebrightmail.com.
1188,poecenter246.net,poecenter246.net.
1189,dyprep.net,park-mx.above.com.
1190,bxdesign.net,SMTP.GOOGLE.COM.
1191,equalitycharterschool.net,mailstore1.secureserver.net.
1192,sbecacs.net,mailstore1.secureserver.net.
1193,ps583.net,alt1.aspmx.l.google.com.
1194,bpms.net,mx00.ionos.com.
1195,bronxarts.net,alt3.aspmx.l.google.com.
